,Hour,Avr,MovingAverage5,MovingAverage20,MovingAverage50,1h%,7h%,35h%,140h%,Patterns
2808,17,12316.97509765625,12311.01650390625,12250.570166015625,12171.511826171874,-0.00032779347821776383,-0.010750912629363452,-0.024663228864851616,-0.015651484583401043,0
2809,18,12327.46044921875,12315.270703125,12254.470825195312,12176.529931640625,-0.0012916145910727428,-0.006626620149013496,-0.029081476378415627,-0.014068426043921889,0
2810,19,12330.20068359375,12321.39150390625,12261.308862304688,12181.46330078125,0.0005761938077346596,-0.00023901783554736156,-0.028452470824098186,-0.012588721606332953,0
2811,13,12322.81494140625,12322.95546875,12268.033154296874,12186.196845703125,0.004587485707545413,0.0022757519350167232,-0.017672483465630773,-0.014401869466948547,0
2812,14,12281.55712890625,12315.80166015625,12273.068725585938,12189.734560546874,0.0019625141256922607,0.0016402437888740629,-0.009432118119201971,-0.013058276250864975,0
2813,15,12256.60302734375,12303.72724609375,12276.620678710937,12192.720615234375,0.0021111818941645932,0.005489838626070442,-0.004804216971975417,-0.012350681278692321,0
2814,16,12243.947265625,12287.024609375,12278.888818359375,12195.335859375,-0.0001791222134274184,0.006122773682751825,-0.006077155737034823,-0.014801428352111512,0
2815,17,12233.6025390625,12267.70498046875,12280.915991210937,12197.27955078125,0.001771794951487049,0.007541793499759253,-0.0017792253686266246,-0.014433785036114588,0
2816,18,12234.64501953125,12250.07099609375,12283.583984375,12198.691435546874,-0.002389569604017705,0.005732081038243297,-0.0014400559088970644,-0.01219395622973063,0
2817,19,12266.77587890625,12247.11474609375,12282.473266601562,12201.635419921875,-0.002796220455664744,0.004054213589330891,-0.002843363398553067,-0.01476639399813895,0
2818,13,12287.873046875,12253.36875,12282.757958984375,12206.60220703125,0.0020835841019748447,0.006185754665171794,-0.003613534688652109,-0.013711479052740172,0
2819,14,12303.013671875,12265.18203125,12284.661328125,12213.37751953125,-0.004463165971341332,-0.002995296465843178,-0.011203375006920036,-0.017205610153849138,0
2820,15,12333.88623046875,12285.23876953125,12290.029858398437,12220.928671875,-0.00043245148219717144,-0.0054331516530483626,-0.010891001249066834,-0.01936809521310323,0
2821,16,12344.1435546875,12307.1384765625,12296.25302734375,12228.159404296875,-0.001279045755019692,-0.008840026146990532,-0.010301860490562809,-0.022331041518625305,0
2822,17,12351.87109375,12324.15751953125,12299.396923828124,12235.2006640625,1.264991333238541e-06,-0.00869768509748503,-0.008897395604218317,-0.020618330926160278,0
2823,18,12355.4189453125,12337.66669921875,12301.444799804687,12242.37849609375,-0.00053716420915495,-0.011225135808197506,-0.009300257883070429,-0.02205407547860394,0
2824,19,12361.28759765625,12349.321484375,12304.19970703125,12250.06224609375,-0.0007413139048597639,-0.009402453767188734,-0.009841461330533319,-0.017699688817160886,0
2825,13,12346.8115234375,12351.90654296875,12306.56044921875,12257.61119140625,-0.002889563483676527,-0.0051772201366228066,-0.013600045745235101,-0.010517455061151093,0
2826,14,12378.43017578125,12358.7638671875,12309.732202148438,12262.87072265625,-0.0021192441491255654,-0.009366332523127574,-0.01621110259802261,-0.019972167927421625,0
2827,15,12393.10400390625,12367.01044921875,12313.52109375,12267.35609375,0.00010409871552741201,-0.004941733876401289,-0.01665382441028984,-0.01984045867107631,0
2828,16,12387.98779296875,12373.52421875,12317.071728515624,12271.563779296876,0.0007759231190231919,-0.003790580408473576,-0.016681834456065192,-0.01808321201730545,0
2829,17,12380.5322265625,12377.37314453125,12319.725317382812,12275.46060546875,0.0004085182605610971,-0.0021105987845753127,-0.01483044362021968,-0.019874594834776493,0
2830,18,12385.8193359375,12385.17470703125,12322.50625,12278.852978515624,-0.00132246293593552,-0.003381877482917517,-0.01542665936832699,-0.01965556238516397,0
2831,19,12367.93359375,12383.075390625,12324.762182617187,12281.406943359376,0.003964014369947755,0.0010722554437949672,-0.013038429989544076,-0.0166347144618485,0
2832,13,12380.427734375,12380.54013671875,12329.705712890625,12284.194169921875,0.0012871955144850844,-0.0035172925261519605,-0.007085495103005601,-0.02522004981449799,0
2833,14,12386.08251953125,12380.15908203125,12336.1796875,12287.703779296875,-0.0019939341553556478,-0.0026732028954618015,-0.008208329454160612,-0.02498234484136197,0
2834,15,12407.60693359375,12385.5740234375,12344.362670898438,12291.91052734375,-0.001305757809101804,-0.0017690379425642222,-0.011985426732915472,-0.024091196183012142,0
2835,16,12455.25439453125,12399.46103515625,12355.445263671874,12296.746279296874,-0.006257439888824656,-0.00812797351301875,-0.018530022564894555,-0.02709209869151752,0
2836,17,12498.02392578125,12425.4791015625,12368.614208984374,12302.0427734375,-0.0005134649604495722,-0.009452895390087646,-0.025171891242293798,-0.026193196718167555,0
2837,18,12495.34228515625,12448.46201171875,12380.042529296876,12307.094501953125,0.0010031421204277358,-0.008924125579725328,-0.018847952773736076,-0.024903165390760207,0
2838,19,12493.970703125,12470.0396484375,12390.347412109375,12312.076630859376,-0.0007702311670158002,-0.008511687269582069,-0.014007846856979422,-0.02585274895878542,0
2839,13,12555.8720703125,12499.69267578125,12402.99033203125,12318.205126953126,-0.006859841642777864,-0.01672306336707219,-0.02194541642715897,-0.04444681626829328,0
2840,14,12618.9931640625,12532.4404296875,12417.245678710937,12326.71619140625,-0.0027604948457495837,-0.020790112049660414,-0.027443816549506672,-0.041442044794052224,0
2841,15,12617.13818359375,12556.26328125,12430.89541015625,12335.292373046876,0.003131610834968823,-0.015710535808016735,-0.022744237466289063,-0.039906894326875,0
2842,16,12603.45166015625,12577.88515625,12443.474438476562,12343.7444921875,-0.0011404522686613294,-0.015421854277660185,-0.02304601039951215,-0.039540867096848564,0
2843,17,12603.34716796875,12599.76044921875,12455.870849609375,12352.10015625,0.0007327281601778868,-0.008248210753485252,-0.022524124103826537,-0.035415659485186546,0
2844,18,12623.8291015625,12613.35185546875,12468.997924804688,12360.605048828125,-0.0038837389144122936,-0.011604968888087264,-0.026003030276826267,-0.044722448014013594,0
2845,19,12669.30859375,12623.41494140625,12485.122778320312,12370.1300390625,-0.003090633889333949,-0.015742853842293347,-0.02799017751327193,-0.05318109869348797,0
2846,13,12709.05126953125,12641.79755859375,12501.653833007813,12380.685361328126,0.0008852033134816306,-0.015017245513272215,-0.027741572291744898,-0.051512606056235866,0
2847,14,12685.5234375,12658.2119140625,12516.2748046875,12388.616025390626,0.0033131066192502168,-0.00497390097677497,-0.029290218994604822,-0.0487306427971238,0
2848,15,12656.115234375,12668.76552734375,12529.681176757813,12396.09474609375,0.0008693684711966743,-0.0010871351607053548,-0.030124134732505525,-0.04766844129921721,0
2849,16,12656.6845703125,12675.33662109375,12543.488793945313,12403.92951171875,-0.001241932566130588,-0.005392066220775926,-0.03329753376219824,-0.04832780172383877,0
2850,17,12649.69677734375,12671.4142578125,12556.682666015626,12412.393134765625,0.0024091598935049863,-0.002098594766227868,-0.03087162676842603,-0.04604989833977513,0
2851,18,12638.0732421875,12657.21865234375,12570.1896484375,12420.76099609375,-0.0005495581904410018,-0.003344471787595227,-0.03334537407037064,-0.043798103722967,0
2852,19,12650.0244140625,12650.11884765625,12583.669482421876,12427.98162109375,-0.0012515298876631942,-0.0006513787967907803,-0.032259876300520185,-0.04720185629455809,0
2853,13,12686.8974609375,12656.27529296875,12598.710229492188,12435.430341796875,-0.0032777187286674447,0.0005469268543545347,-0.03203268435496409,-0.05159202438170252,0
2854,14,12714.85302734375,12667.908984375,12614.072534179688,12443.60361328125,-0.0011260161702953964,-0.0012193582974395767,-0.035098098276978074,-0.0509619612409099,0
2855,15,12712.96728515625,12680.5630859375,12626.958178710938,12451.871025390625,0.0013271126226281904,-0.0033785450971547393,-0.029384648662210466,-0.0568678328039488,0
2856,16,12712.3759765625,12695.4236328125,12637.67578125,12459.818642578124,-0.0013170530347225151,-0.005654745248579229,-0.030226889177694782,-0.05752434103014026,0
2857,17,12728.078125,12711.034375,12649.312573242187,12468.033681640625,-0.001177189755443231,-0.005548097157721643,-0.03012783765455218,-0.05731093728290004,0
2858,18,12729.9345703125,12719.641796875,12661.110766601563,12476.29287109375,0.00099946718620747,-0.006993046710930151,-0.0291959239668117,-0.05448922867259676,0
